Company,Date,Total Assets,Total Liabilities,Common Equity - Total,Total Current Assets,Total Current Liabilities,Inventories - Total,Net Cash Flow from Operating Activities,Net Income after Tax,Income Available to Common Shares,Gross Profit Margin - %,Revenue from Business Activities - Total
DGW.HM,12/31/2024,8.49932E+12,5.48733E+12,2.97403E+12,7.7717E+12,5.48479E+12,3.50084E+12,4.35551E+11,1.46484E+11,1.40356E+11,10.36871,5.85985E+12
DGW.HM,3/31/2025,7.8402E+12,4.72404E+12,3.07995E+12,7.27634E+12,4.72151E+12,3.18934E+12,-3.66357E+11,1.0639E+11,1.05923E+11,8.70987,5.51932E+12
AST.HM,12/31/2021,5.02534E+11,90075426669,3.73006E+11,2.81552E+11,87335411194,28261870280,-10724208480,-18064711466,-15392431114,68.15255,27933932926
AST.HM,3/31/2022,4.89351E+11,96947539761,3.51879E+11,2.67697E+11,87455824286,26237482772,-9041689402,-23691559320,-21066020952,46.04833,67668554137
AST.HM,6/30/2022,5.15217E+11,1.06226E+11,3.65645E+11,2.98952E+11,96982795006,30872241243,39785620606,16598878422,13756438635,53.36221,1.34589E+11
AST.HM,9/30/2022,5.66023E+11,1.34381E+11,3.78131E+11,3.34779E+11,1.26361E+11,45094211230,27932056853,15551117886,12714108704,53.0842,1.85098E+11
AST.HM,12/31/2022,5.78866E+11,1.23392E+11,3.94626E+11,3.50001E+11,1.15515E+11,53585399003,48562552397,25343332094,16883277092,54.64729,2.16234E+11
AST.HM,3/31/2023,5.87815E+11,98138909955,4.20292E+11,3.5944E+11,90705394480,55218117527,35723445062,34329705859,24761167663,56.47342,2.63111E+11
AST.HM,6/30/2023,6.58818E+11,1.3044E+11,4.51276E+11,4.30717E+11,1.2919E+11,79378731641,41345733119,38946664626,31126912940,58.28617,2.62146E+11
AST.HM,9/30/2023,7.0668E+11,1.46876E+11,4.80471E+11,4.73255E+11,1.45874E+11,84826614039,54904394089,37299698468,29333644973,58.8565,2.85192E+11
AST.HM,12/31/2023,7.61244E+11,1.73524E+11,5.05366E+11,5.20293E+11,1.71324E+11,1.0056E+11,57413704825,40021450411,25045066615,58.80366,2.89243E+11
AST.HM,3/31/2024,7.95592E+11,1.80337E+11,5.40148E+11,5.6488E+11,1.77946E+11,82109025795,55744025664,50097708310,34931983132,60.79486,3.39525E+11
AST.HM,6/30/2024,8.05963E+11,1.92445E+11,5.18617E+11,5.79462E+11,1.90048E+11,85191219912,56782737361,42996744307,32631112035,60.8347,3.09803E+11
AST.HM,9/30/2024,8.40463E+11,1.90895E+11,5.57381E+11,6.19386E+11,1.89419E+11,77556413447,60925574753,49641550804,38911653043,61.24735,3.29212E+11
AST.HM,12/31/2024,8.5328E+11,2.34981E+11,5.26342E+11,6.05818E+11,2.34425E+11,86555253302,1.02634E+11,59642833991,42146310230,61.62924,3.51502E+11
AST.HM,3/31/2025,8.90893E+11,1.98988E+11,5.80853E+11,6.41802E+11,1.98988E+11,81387404692,71119293887,73772537016,54663465814,63.02232,3.84846E+11
PET.HM,12/31/2021,8.49314E+12,6.55341E+12,1.81624E+12,7.16434E+12,6.38214E+12,1.44715E+12,-1.96145E+11,1.38076E+11,1.05808E+11,5.7983,6.11307E+12
PET.HM,3/31/2022,8.44489E+12,6.41995E+12,1.88915E+12,7.12724E+12,6.23001E+12,1.96349E+12,-3.51622E+11,88736368222,67802224848,4.13422,4.81578E+12
PET.HM,6/30/2022,8.32679E+12,6.3043E+12,1.88008E+12,7.01713E+12,6.13482E+12,2.08672E+12,-1.87757E+11,14734452919,6086999411,8.4623,3.45763E+12
